src_node,dest_node,nodesList,distance,linksList,numHops
0,20,"[0, 13, 12, 1, 11, 2, 17, 22, 20]",81.0,"[2, 60, 10, 9, 15, 16, 69, 76]",8
0,21,"[0, 13, 12, 1, 21]",22.0,"[2, 60, 10, 11]",4
0,21,"[0, 13, 143, 144, 142, 12, 1, 21]",53.0,"[2, 63, 208, 207, 62, 10, 11]",7
0,21,"[0, 13, 12, 1, 31, 28, 19, 30, 152, 38, 36, 21]",55.0,"[2, 60, 10, 12, 92, 73, 74, 96, 117, 106, 78]",11
0,21,"[0, 16, 17, 2, 11, 1, 21]",55.0,"[5, 67, 16, 15, 9, 11]",6
0,21,"[0, 2, 11, 1, 21]",55.33,"[0, 15, 9, 11]",4
0,22,"[0, 15, 105, 103, 104, 20, 22]",51.0,"[4, 66, 179, 178, 77, 76]",6
0,22,"[0, 16, 17, 22]",52.0,"[5, 67, 69]",3
0,22,"[0, 15, 20, 22]",56.0,"[4, 65, 76]",3
0,22,"[0, 16, 108, 106, 107, 22]",65.0,"[5, 68, 181, 180, 80]",5
0,22,"[0, 13, 12, 1, 11, 2, 17, 22]",67.0,"[2, 60, 10, 9, 15, 16, 69]",7
0,23,"[0, 13, 12, 1, 31, 35, 23]",29.0,"[2, 60, 10, 12, 98, 83]",6
0,23,"[0, 13, 12, 1, 31, 28, 29, 23]",37.0,"[2, 60, 10, 12, 92, 91, 82]",7
0,23,"[0, 14, 3, 18, 35, 23]",56.0,"[3, 19, 20, 71, 83]",5
0,23,"[0, 3, 18, 35, 23]",56.1,"[1, 20, 71, 83]",4
0,23,"[0, 13, 12, 1, 21, 130, 132, 131, 35, 23]",58.0,"[2, 60, 10, 11, 79, 199, 200, 105, 83]",9
0,24,"[0, 13, 12, 1, 31, 28, 19, 30, 8, 124, 24]",43.0,"[2, 60, 10, 12, 92, 73, 74, 44, 45, 86]",10
0,24,"[0, 13, 12, 1, 31, 28, 19, 30, 8, 24]",45.0,"[2, 60, 10, 12, 92, 73, 74, 44, 42]",9
0,24,"[0, 13, 12, 1, 31, 28, 19, 30, 8, 125, 124, 24]",50.0,"[2, 60, 10, 12, 92, 73, 74, 44, 46, 195, 86]",11
0,24,"[0, 13, 12, 1, 31, 28, 19, 30, 8, 125, 126, 24]",55.0,"[2, 60, 10, 12, 92, 73, 74, 44, 46, 196, 87]",11
0,24,"[0, 13, 12, 1, 31, 28, 19, 30, 8, 124, 125, 126, 24]",64.0,"[2, 60, 10, 12, 92, 73, 74, 44, 45, 195, 196, 87]",12
0,25,"[0, 13, 12, 1, 31, 28, 19, 30, 8, 124, 24, 25]",53.0,"[2, 60, 10, 12, 92, 73, 74, 44, 45, 86, 85]",11
0,25,"[0, 13, 12, 1, 31, 28, 19, 30, 8, 24, 25]",55.0,"[2, 60, 10, 12, 92, 73, 74, 44, 42, 85]",10
0,25,"[0, 13, 12, 1, 31, 28, 19, 30, 8, 125, 124, 24, 25]",60.0,"[2, 60, 10, 12, 92, 73, 74, 44, 46, 195, 86, 85]",12
0,25,"[0, 13, 12, 1, 31, 28, 19, 30, 8, 125, 126, 24, 25]",65.0,"[2, 60, 10, 12, 92, 73, 74, 44, 46, 196, 87, 85]",12
0,25,"[0, 13, 12, 1, 31, 28, 19, 30, 8, 124, 125, 126, 24, 25]",74.0,"[2, 60, 10, 12, 92, 73, 74, 44, 45, 195, 196, 87, 85]",13
0,26,"[0, 13, 12, 1, 11, 128, 129, 127, 26]",50.0,"[2, 60, 10, 9, 58, 198, 197, 89]",8
0,26,"[0, 13, 12, 1, 11, 129, 127, 26]",51.0,"[2, 60, 10, 9, 59, 197, 89]",7
0,26,"[0, 13, 12, 1, 31, 28, 19, 30, 8, 124, 24, 4, 26]",67.96,"[2, 60, 10, 12, 92, 73, 74, 44, 45, 86, 25, 26]",12
0,26,"[0, 13, 12, 1, 31, 28, 19, 30, 8, 24, 4, 26]",69.95999999999998,"[2, 60, 10, 12, 92, 73, 74, 44, 42, 25, 26]",11
0,26,"[0, 16, 17, 2, 11, 128, 129, 127, 26]",73.0,"[5, 67, 16, 15, 58, 198, 197, 89]",8
0,27,"[0, 13, 12, 1, 31, 28, 19, 30, 8, 27]",45.0,"[2, 60, 10, 12, 92, 73, 74, 44, 43]",9
0,27,"[0, 13, 12, 1, 140, 141, 139, 27]",48.0,"[2, 60, 10, 13, 206, 205, 90]",7
0,27,"[0, 13, 12, 1, 31, 35, 23, 27]",49.0,"[2, 60, 10, 12, 98, 83, 81]",7
0,27,"[0, 13, 12, 1, 31, 28, 29, 23, 27]",57.0,"[2, 60, 10, 12, 92, 91, 82, 81]",8
0,27,"[0, 13, 12, 1, 31, 35, 23, 29, 28, 19, 30, 8, 27]",69.0,"[2, 60, 10, 12, 98, 83, 82, 91, 73, 74, 44, 43]",12
0,28,"[0, 13, 12, 1, 31, 28]",21.0,"[2, 60, 10, 12, 92]",5
0,28,"[0, 13, 12, 1, 31, 35, 23, 29, 28]",45.0,"[2, 60, 10, 12, 98, 83, 82, 91]",8
0,28,"[0, 13, 12, 1, 31, 138, 137, 136, 19, 28]",51.0,"[2, 60, 10, 12, 99, 204, 203, 75, 73]",9
0,28,"[0, 13, 143, 144, 142, 12, 1, 31, 28]",52.0,"[2, 63, 208, 207, 62, 10, 12, 92]",8
0,28,"[0, 16, 17, 2, 11, 1, 31, 28]",54.0,"[5, 67, 16, 15, 9, 12, 92]",7
0,29,"[0, 13, 12, 1, 31, 28, 29]",27.0,"[2, 60, 10, 12, 92, 91]",6
