primary_path,secondary_path,numHops_secondary,distance_secondary
1307.0,1326.0,5.0,48.0
1306.0,1325.0,5.0,47.0
1306.0,1326.0,5.0,48.0
1308.0,1325.0,5.0,47.0
1308.0,1326.0,5.0,48.0
1366.0,1361.0,6.0,57.0
1366.0,1362.0,6.0,58.0
1340.0,1361.0,6.0,57.0
1340.0,1362.0,6.0,58.0
1342.0,1361.0,6.0,57.0
1342.0,1362.0,6.0,58.0
1341.0,1361.0,6.0,57.0
1341.0,1362.0,6.0,58.0
1361.0,1366.0,1.0,10.0
1361.0,1340.0,3.0,21.0
1361.0,1342.0,4.0,41.0
1361.0,1341.0,5.0,38.0
1361.0,1343.0,6.0,58.0
1343.0,1361.0,6.0,57.0
1343.0,1362.0,6.0,58.0
1362.0,1366.0,1.0,10.0
1362.0,1340.0,3.0,21.0
1362.0,1342.0,4.0,41.0
1362.0,1341.0,5.0,38.0
1362.0,1343.0,6.0,58.0
1395.0,1401.0,4.0,35.5
1395.0,1375.0,6.0,46.5
1395.0,1377.0,7.0,66.5
1395.0,1376.0,8.0,63.5
1395.0,1378.0,9.0,83.5
1396.0,1401.0,4.0,35.5
1396.0,1375.0,6.0,46.5
1396.0,1377.0,7.0,66.5
1396.0,1376.0,8.0,63.5
1396.0,1378.0,9.0,83.5
1401.0,1395.0,3.0,31.5
1401.0,1396.0,3.0,32.5
1375.0,1395.0,3.0,31.5
1375.0,1396.0,3.0,32.5
1377.0,1395.0,3.0,31.5
1377.0,1396.0,3.0,32.5
1376.0,1395.0,3.0,31.5
1376.0,1396.0,3.0,32.5
1378.0,1395.0,3.0,31.5
1378.0,1396.0,3.0,32.5
1410.0,1411.0,3.0,27.0
1411.0,1410.0,2.0,23.0
1413.0,1412.0,3.0,33.0
1412.0,1413.0,2.0,17.0
1420.0,1417.0,2.0,21.0
1420.0,1418.0,5.0,46.0
1420.0,1419.0,5.0,48.0
1420.0,1414.0,6.0,83.0
1420.0,1415.0,9.0,108.0
1420.0,1416.0,9.0,110.0
1417.0,1420.0,1.0,15.0
1418.0,1420.0,1.0,15.0
1419.0,1420.0,1.0,15.0
1414.0,1420.0,1.0,15.0
1415.0,1420.0,1.0,15.0
1416.0,1420.0,1.0,15.0
1422.0,1421.0,4.0,38.0
1421.0,1422.0,1.0,12.0
1428.0,1431.0,3.0,34.0
1431.0,1428.0,3.0,29.0
1431.0,1424.0,7.0,91.0
1424.0,1431.0,3.0,34.0
1434.0,1435.0,4.0,35.0
1435.0,1434.0,1.0,15.0
1439.0,1442.0,5.0,41.0
1439.0,1443.0,5.0,43.0
1442.0,1439.0,1.0,20.0
1442.0,1436.0,5.0,82.0
1443.0,1439.0,1.0,20.0
1443.0,1436.0,5.0,82.0
1436.0,1442.0,5.0,41.0
1436.0,1443.0,5.0,43.0
1448.0,1451.0,2.0,21.0
1451.0,1448.0,1.0,15.0
1451.0,1449.0,4.0,40.0
1451.0,1450.0,4.0,42.0
1451.0,1445.0,5.0,77.0
1451.0,1446.0,8.0,102.0
1451.0,1447.0,8.0,104.0
1449.0,1451.0,2.0,21.0
1450.0,1451.0,2.0,21.0
1445.0,1451.0,2.0,21.0
1446.0,1451.0,2.0,21.0
1447.0,1451.0,2.0,21.0
1455.0,1458.0,4.0,37.0
1455.0,1459.0,4.0,39.0
1458.0,1455.0,2.0,24.0
1458.0,1452.0,6.0,86.0
1459.0,1455.0,2.0,24.0
1459.0,1452.0,6.0,86.0
1452.0,1458.0,4.0,37.0
1452.0,1459.0,4.0,39.0
1469.0,1466.0,3.0,31.0
1469.0,1462.0,7.0,93.0
1466.0,1469.0,3.0,30.0
1462.0,1469.0,3.0,30.0
1473.0,1472.0,2.0,15.0
1472.0,1473.0,2.0,11.0
1475.0,1474.0,3.0,22.0
1474.0,1475.0,1.0,4.0
1476.0,1477.0,3.0,20.0
1477.0,1476.0,1.0,6.0
1478.0,1479.0,2.0,26.0
1479.0,1478.0,2.0,19.0
1481.0,1480.0,3.0,32.0
1480.0,1481.0,1.0,13.0
1482.0,1483.0,3.0,40.0
1483.0,1482.0,1.0,5.0
1488.0,1484.0,4.0,39.0
1488.0,1485.0,4.0,39.0
1488.0,1486.0,4.0,41.0
1488.0,1487.0,6.0,57.0
1484.0,1488.0,1.0,12.0
1485.0,1488.0,1.0,12.0
1486.0,1488.0,1.0,12.0
1487.0,1488.0,1.0,12.0
1489.0,1490.0,4.0,37.0
1489.0,1491.0,4.0,37.0
1489.0,1492.0,4.0,39.0
1489.0,1493.0,6.0,55.0
1490.0,1489.0,1.0,14.0
1491.0,1489.0,1.0,14.0
1492.0,1489.0,1.0,14.0
1493.0,1489.0,1.0,14.0
1498.0,1494.0,3.0,31.0
1498.0,1496.0,5.0,49.0
1494.0,1498.0,2.0,20.0
1496.0,1498.0,2.0,20.0
1501.0,1504.0,3.0,25.0
1501.0,1505.0,3.0,25.0
1504.0,1501.0,2.0,26.0
1504.0,1502.0,4.0,44.0
1505.0,1501.0,2.0,26.0
1502.0,1504.0,3.0,25.0
1507.0,1510.0,3.0,25.0
1507.0,1511.0,5.0,41.0
1510.0,1507.0,2.0,28.0
1511.0,1507.0,2.0,28.0
1517.0,1514.0,3.0,34.0
1517.0,1515.0,3.0,36.0
1514.0,1517.0,2.0,17.0
1515.0,1517.0,2.0,17.0
1515.0,1518.0,4.0,33.0
1518.0,1515.0,3.0,36.0
1521.0,1520.0,3.0,31.0
1520.0,1521.0,1.0,8.0
1520.0,1522.0,5.0,43.0
1522.0,1520.0,3.0,31.0
1523.0,1524.0,3.0,25.0
1523.0,1525.0,7.0,60.0
1524.0,1523.0,1.0,14.0
1525.0,1523.0,1.0,14.0
1527.0,1526.0,2.0,26.0
1526.0,1527.0,2.0,13.0
1526.0,1528.0,6.0,48.0
1528.0,1526.0,2.0,26.0
1530.0,1529.0,2.0,22.0
1529.0,1530.0,2.0,13.0
1531.0,1532.0,3.0,21.0
1532.0,1531.0,1.0,14.0
1534.0,1533.0,3.0,27.0
1533.0,1534.0,1.0,8.0
1536.0,1537.0,3.0,23.0
1537.0,1536.0,1.0,12.0
1537.0,1535.0,5.0,51.0
1535.0,1537.0,3.0,23.0
1539.0,1540.0,2.0,18.0
1540.0,1539.0,2.0,17.0
1540.0,1538.0,6.0,56.0
1538.0,1540.0,2.0,18.0
1543.0,1542.0,3.0,21.0
1543.0,1541.0,7.0,60.0
1542.0,1543.0,1.0,14.0
1541.0,1543.0,1.0,14.0
1547.0,1544.0,1.0,5.0
1547.0,1545.0,2.0,12.0
1544.0,1547.0,1.0,4.0
1544.0,1548.0,3.0,25.0
1545.0,1547.0,1.0,4.0
1548.0,1544.0,1.0,5.0
1550.0,1553.0,2.0,12.0
1550.0,1555.0,2.0,17.0
1553.0,1550.0,1.0,4.0
1551.0,1555.0,2.0,17.0
1555.0,1550.0,1.0,4.0
1555.0,1551.0,2.0,13.0
1560.0,1556.0,2.0,9.0
1560.0,1557.0,3.0,18.0
1556.0,1560.0,1.0,12.0
1557.0,1560.0,1.0,12.0
1565.0,1564.0,2.0,19.0
1565.0,1563.0,3.0,18.0
1564.0,1565.0,1.0,12.0
1563.0,1565.0,1.0,12.0
